Price,Journey_month,Journey_day,Dep_Time_hours,Dep_Time_mins,Arrival_Time_hours,Arrival_Time_mins,Duration_hours,Duration_minutes,Duration_total_minutes,Source_Banglore,Source_Kolkata,Source_Delhi,Source_Chennai,Source_Mumbai,Airline label,Destination label,Total_Stops_label
9794.0,5,9,8,45,19,0,10,15,615,0,0,1,0,0,6,1,1
8018.0,6,24,13,15,22,30,9,15,555,0,0,1,0,0,6,1,1
7662.0,6,9,16,45,21,5,28,20,1700,0,1,0,0,0,1,0,1
3873.0,6,1,6,55,9,30,2,35,155,0,1,0,0,0,8,0,0
4226.0,6,6,6,20,10,20,4,0,240,0,1,0,0,0,3,0,1
3210.0,5,15,2,55,4,20,1,25,85,0,0,0,0,1,4,2,0
7064.0,4,1,18,55,23,35,28,40,1720,0,1,0,0,0,4,0,1
9646.0,5,21,7,5,18,10,11,5,665,0,0,1,0,0,6,1,1
5684.0,6,24,11,25,1,30,14,5,845,0,0,1,0,0,3,1,1
11222.0,5,21,8,20,11,10,26,50,1610,0,1,0,0,0,1,0,2
13817.0,3,12,22,55,7,40,8,45,525,1,0,0,0,0,4,4,1
7662.0,5,6,5,50,13,15,7,25,445,0,1,0,0,0,1,0,2
12029.0,5,27,10,0,19,15,9,15,555,0,0,1,0,0,1,1,1
15129.0,5,27,23,5,19,0,19,55,1195,0,0,1,0,0,4,1,2
7832.0,3,21,14,5,19,10,5,5,305,1,0,0,0,0,4,4,1
8529.0,6,12,21,10,10,5,12,55,775,0,1,0,0,0,4,0,1
7229.0,4,21,6,0,8,45,2,45,165,1,0,0,0,0,4,4,0
3543.0,5,12,9,45,12,0,2,15,135,0,0,0,1,0,8,3,0
3175.0,6,24,16,55,18,25,1,30,90,0,0,0,0,1,3,2,0
10031.0,3,24,8,25,16,20,7,55,475,0,1,0,0,0,4,0,1
13067.0,5,6,17,0,19,10,26,10,1570,0,1,0,0,0,4,0,1
11989.0,6,24,17,15,7,40,14,25,865,0,0,1,0,0,1,1,2
9314.0,5,1,17,0,14,25,21,25,1285,0,1,0,0,0,4,0,1
9270.0,3,21,18,25,18,50,24,25,1465,0,0,1,0,0,4,1,2
4423.0,4,1,0,30,3,25,2,55,175,1,0,0,0,0,3,4,0
4591.0,4,18,23,30,2,20,2,50,170,1,0,0,0,0,3,4,0
10539.0,6,6,20,25,10,55,14,30,870,0,1,0,0,0,4,0,1
4823.0,6,21,8,30,11,20,2,50,170,1,0,0,0,0,3,4,0
4804.0,5,3,4,40,7,15,2,35,155,0,1,0,0,0,3,0,0
5678.0,5,12,19,35,21,5,1,30,90,0,0,0,0,1,4,2,0
8728.0,3,27,5,10,18,50,13,40,820,0,0,1,0,0,4,1,2
12192.0,6,1,3,50,12,35,8,45,525,0,0,1,0,0,6,1,1
5769.0,6,18,7,10,10,10,3,0,180,1,0,0,0,0,4,4,0
4804.0,6,12,17,15,19,50,2,35,155,0,1,0,0,0,3,0,0
12373.0,5,18,14,0,12,35,22,35,1355,0,0,1,0,0,4,1,1
8907.0,6,3,9,45,23,0,13,15,795,0,0,1,0,0,1,1,1
13014.0,6,3,5,30,19,0,13,30,810,0,0,1,0,0,4,1,2
14237.0,6,9,18,25,12,35,18,10,1090,0,0,1,0,0,4,1,2
12127.0,3,12,6,45,20,35,13,50,830,1,0,0,0,0,1,4,1
17261.0,3,6,16,55,11,25,18,30,1110,1,0,0,0,0,4,4,1
3943.0,5,12,1,30,4,15,2,45,165,1,0,0,0,0,3,4,0
13797.0,6,24,7,5,21,0,13,55,835,0,0,1,0,0,6,1,1
3687.0,6,24,7,45,10,0,2,15,135,0,0,0,1,0,10,3,0
15809.0,3,6,7,0,19,15,12,15,735,0,0,1,0,0,1,1,1
8586.0,5,12,6,30,12,0,5,30,330,0,1,0,0,0,4,0,1
7438.0,3,21,2,15,4,25,26,10,1570,0,0,1,0,0,4,1,1
8372.0,3,15,21,25,5,5,7,40,460,1,0,0,0,0,4,4,1
8016.0,6,1,8,20,11,20,3,0,180,1,0,0,0,0,4,4,0
4460.0,4,12,20,45,23,20,2,35,155,0,1,0,0,0,1,0,0
7640.0,5,18,16,10,22,30,6,20,380,0,0,1,0,0,3,1,1
2754.0,6,18,2,35,4,5,1,30,90,0,0,0,0,1,3,2,0
10467.0,5,21,13,5,9,25,20,20,1220,0,0,1,0,0,1,1,2
13616.0,5,15,9,25,17,20,31,55,1915,0,1,0,0,0,1,0,2
14424.0,5,9,10,0,5,25,19,25,1165,0,1,0,0,0,1,0,2
8476.0,5,18,6,0,19,15,13,15,795,0,0,1,0,0,6,1,1
7174.0,5,9,9,45,23,0,13,15,795,0,0,1,0,0,1,1,1
3873.0,6,18,6,55,9,30,2,35,155,0,1,0,0,0,8,0,0
15147.0,3,3,10,20,1,35,15,15,915,0,0,1,0,0,6,1,1
10919.0,6,15,6,45,4,25,21,40,1300,0,0,1,0,0,4,1,2
11467.0,5,9,20,25,14,25,18,0,1080,0,1,0,0,0,4,0,1
14781.0,5,12,14,5,22,35,8,30,510,0,1,0,0,0,4,0,1
8529.0,6,12,16,30,20,45,28,15,1695,0,1,0,0,0,4,0,1
9397.0,6,9,7,10,10,45,27,35,1655,0,1,0,0,0,10,0,1
8355.0,5,9,10,20,17,35,7,15,435,0,1,0,0,0,4,0,1
2227.0,6,18,20,5,21,40,1,35,95,0,0,0,0,1,3,2,0
7677.0,6,3,8,30,19,15,10,45,645,0,0,1,0,0,6,1,1
3687.0,6,12,7,5,9,20,2,15,135,0,0,0,1,0,10,3,0
